01. CreateOccupationLabelNodes_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 
02. CreateOccupationPrefLabelNodes_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 
03. CreateSkillLabelNodes_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 
04. CleanUpEscoData_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 
63. CreateOccupationLabelContentItems23200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
64. CreateOccupationLabelContentItems23600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
65. CreateOccupationLabelContentItems24000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
66. CreateOccupationLabelContentItems24400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
67. CreateOccupationLabelContentItems24800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
68. CreateOccupationLabelContentItems25200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
69. CreateOccupationLabelContentItems25600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
70. CreateOccupationLabelContentItems26000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
71. CreateOccupationLabelContentItems26400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
72. CreateOccupationLabelContentItems26800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
73. CreateOccupationLabelContentItems27200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
74. CreateOccupationLabelContentItems27600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
75. CreateOccupationLabelContentItems28000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
76. CreateOccupationLabelContentItems28400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
77. CreateOccupationLabelContentItems28800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
78. CreateOccupationLabelContentItems29200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
79. CreateOccupationLabelContentItems29600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
80. CreateOccupationLabelContentItems30000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
81. CreateOccupationLabelContentItems30400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
82. CreateOccupationLabelContentItems30800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
83. CreateOccupationLabelContentItems31200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
84. CreateOccupationLabelContentItems31600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
85. CreateOccupationLabelContentItems32000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
86. CreateOccupationLabelContentItems32400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
87. CreateOccupationLabelContentItems32800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
88. CreateSkillContentItems0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
89. CreateSkillContentItems400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
90. CreateSkillContentItems800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
91. CreateSkillContentItems1200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
92. CreateSkillContentItems1600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
93. CreateSkillContentItems2000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
94. CreateSkillContentItems2400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
95. CreateSkillContentItems2800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
96. CreateSkillContentItems3200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
97. CreateSkillContentItems3600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
98. CreateSkillContentItems4000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
99. CreateSkillContentItems4400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
100. CreateSkillContentItems4800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
101. CreateSkillContentItems5200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
102. CreateSkillContentItems5600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
103. CreateSkillContentItems6000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
104. CreateSkillContentItems6400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
105. CreateSkillContentItems6800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
106. CreateSkillContentItems7200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
107. CreateSkillContentItems7600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
108. CreateSkillContentItems8000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
109. CreateSkillContentItems8400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
110. CreateSkillContentItems8800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
111. CreateSkillContentItems9200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
112. CreateSkillContentItems9600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
113. CreateSkillContentItems10000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
114. CreateSkillContentItems10400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
115. CreateSkillContentItems10800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
116. CreateSkillContentItems11200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
117. CreateSkillContentItems11600_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
118. CreateSkillContentItems12000_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
119. CreateSkillContentItems12400_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
120. CreateSkillContentItems12800_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
121. CreateSkillContentItems13200_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
122. CreateOccupationContentItems0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
123. SharedContent_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 
124. ContentHelp_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 
125. QCFLevels0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 10
126. ApprenticeshipStandardRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 18
127. ApprenticeshipStandards0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
128. ApprenticeshipStandards1_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 181
129. RequirementsPrefixes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 6
130. ApprenticeshipLinks0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 3
131. ApprenticeshipRequirements0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 9
132. CollegeLinks0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 5
133. CollegeRequirements0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 5
134. UniversityLinks0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 6
135. UniversityRequirements0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 8
136. DayToDayTasks0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 137
137. OtherRequirements0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 7
138. Registrations0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 3
139. Restrictions0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 14
140. SocCodes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 370
141. ONetOccupationalCodes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 400
142. ONetOccupationalCodes1_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 110
143. WorkingEnvironments0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 14
144. WorkingLocations0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 17
145. WorkingUniforms0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 2
146. ApprenticeshipRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 18
147. CollegeRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 13
148. UniversityRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 7
149. DirectRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 13
150. OtherRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 5
151. VolunteeringRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 9
152. WorkRoutes0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 10
153. JobProfiles0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 20
154. JobCategories0_7f044ff1-4742-45f8-82b5-3829549a2975.recipe.json: 26
# Totals
    OccupationLabels: 33036
Skills: 13485
Occupations: 20
QCFLevels: 10
ApprenticeshipStandardRoutes: 18
ApprenticeshipStandards: 581
RequirementsPrefixes: 6
ApprenticeshipLinks: 3
ApprenticeshipRequirements: 9
CollegeLinks: 5
CollegeRequirements: 5
UniversityLinks: 6
UniversityRequirements: 8
DayToDayTasks: 137
OtherRequirements: 7
Registrations: 3
Restrictions: 14
SocCodes: 370
ONetOccupationalCodes: 510
WorkingEnvironments: 14
WorkingLocations: 17
WorkingUniforms: 2
ApprenticeshipRoutes: 18
CollegeRoutes: 13
UniversityRoutes: 7
DirectRoutes: 13
OtherRoutes: 5
VolunteeringRoutes: 9
WorkRoutes: 10
JobProfiles: 20
JobCategories: 26
